"Cód","Código de barras","Nome","Fornecedor","Fabricante","Preço Tabela","Replicação de preço","Custo","Resultado Financeiro","Markup","Estoque","Aliquota","Grupo linha","Sub grupo","Comissão Vendedor","Comissão Veterinário","CSOSN/CST","Status","Código de barras 2","Código de barras 3","Código de barras 4"
"9384","7896029006672","AL CAES PEDIGREE FIL R MD/GRD 15KG","MEGA RIO","NAO INFORMADO","R$ 176,90","Ativo","R$ 126,91","R$ 49,99","39,4%","1","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"2997","7896029006719","AL CAES PEDIGREE FIL R MD/GRD 1KG","AGULHAS NEGRAS","NAO INFORMADO","R$ 26,99","Ativo","R$ 18,43","R$ 8,56","46,4%","0","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"8979","7896029083499","AL CAES PEDIGREE FIL R MD/GRD 2,7KG","MEGA RIO","NAO INFORMADO","R$ 58,99","Ativo","R$ 32,28","R$ 26,71","82,7%","0","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"9233","7896029045978","AL CAES PEDIGREE FIL R MD/GRD 20KG","MEGA RIO","NAO INFORMADO","R$ 2,43","Ativo","R$ 180,00","R$ -177,57","-98,7%","0","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"2999","7797453066273","AL CAES PEDIGREE FIL R MD/GRD 3KG","AGULHAS NEGRAS","NAO INFORMADO","R$ 59,99","Ativo","R$ 43,89","R$ 16,10","36,7%","0","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"8977","7896029083482","AL CAES PEDIGREE FIL R MD/GRD 900GR","MEGA RIO","NAO INFORMADO","R$ 19,99","Ativo","R$ 12,00","R$ 7,99","66,6%","-1","Subst. Tributaria","RACAO","PACOTE","0.00","0.00","60","Ativo","","",""
"10124","7890000010124","AL CAES PEDIGREE FIL R MD/GRD kg","SEM FORNECEDOR CADASTRADO","NAO INFORMADO","R$ 0,00","Ativo","R$ 0,00","R$ 0,00","100,0%","0","Subst. Tributaria","GRANEL","NENHUM","0.00","0.00","60","Ativo","","",""
"9380","7896029018415","AL CAES PEDIGREE NUTRI ESSENCIAL AO LEITE 15KG","OBOM PET E VETERINÁRIA LTDA - ILHA DE GUARATIBA","NAO INFORMADO","R$ 129,90","Ativo","R$ 89,90","R$ 40,00","44,5%","6","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"11516","7896029082324","AL CAES PEDIGREE NUTRI ESSENCIAL AO LEITE 20KG","MEGA RIO","NAO INFORMADO","R$ 166,90","Ativo","R$ 0,00","R$ 166,90","100,0%","0","Subst. Tributaria","RACAO","SACARIA","0.00","0.00","60","Ativo","","",""
"9840","7890000009843","AL CAES PEDIGREE NUTRI ESSENCIAL AO LEITE GRANEL","SEM FORNECEDOR CADASTRADO","NAO INFORMADO","R$ 12,99","Ativo","R$ 5,90","R$ 7,09","120,2%","0","Subst. Tributaria","GRANEL","ALIMENTOS CAES","0.00","0.00","60","Ativo","","",""
